station_uid,station_num,routes,direction,station,lat,lon,station_uid2,station_num2,station2,lat2,lon2,distance_km
74_1_8,74,8,1,สำเพ็ง,13.752838,100.50902,75_1_8,75,หลานหลวง,13.756584,100.511628,0.5028379727962878
75_1_8,75,8,1,หลานหลวง,13.756584,100.511628,76_1_8,76,สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ (สภาพัฒน์),13.756658,100.514614,0.32260864619745994
76_1_8,76,8,1,สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ (สภาพัฒน์),13.756658,100.514614,77_1_8,77,"สะพานขาว,บ้านมนังคศิลา,โรงพยาบาลมิชชั่น,มหานาค",13.75704,100.518958,0.4710932404978067
77_1_8,77,8,1,"สะพานขาว,บ้านมนังคศิลา,โรงพยาบาลมิชชั่น,มหานาค",13.75704,100.518958,78_1_8,78,สวรรคโลก 1,13.758563,100.521027,0.2803828302968806
78_1_8,78,8,1,สวรรคโลก 1,13.758563,100.521027,79_1_8,79,สวรรคโลก 2,13.761873,100.522372,0.3956848593842537
79_1_8,79,8,1,สวรรคโลก 2,13.761873,100.522372,80_1_8,80,ตรงข้ามกรมทางหลวง,13.762647,100.524267,0.22202462792704414
80_1_8,80,8,1,ตรงข้ามกรมทางหลวง,13.762647,100.524267,81_1_8,81,มหาวิทยาลัยมหิดล,13.763718,100.526335,0.2531145423680347
81_1_8,81,8,1,มหาวิทยาลัยมหิดล,13.763718,100.526335,82_1_8,82,โรงพยาบาลรามาธิบดี,13.767008,100.527651,0.39247085372737855
82_1_8,82,8,1,โรงพยาบาลรามาธิบดี,13.767008,100.527651,83_1_8,83,วิทยาลัยแพทยศาสตร์พระมงกุฎเกล้า,13.768485,100.530622,0.36045749355346546
83_1_8,83,8,1,วิทยาลัยแพทยศาสตร์พระมงกุฎเกล้า,13.768485,100.530622,84_1_8,84,โรงพยาบาลพระมงกุฎเกล้า,13.767358,100.533114,0.2968813035922463
84_1_8,84,8,1,โรงพยาบาลพระมงกุฎเกล้า,13.767358,100.533114,85_1_8,85,ตรงข้ามโรงพยาบาลเด็ก,13.766392,100.535256,0.2550582154722848
85_1_8,85,8,1,ตรงข้ามโรงพยาบาลเด็ก,13.766392,100.535256,86_1_8,86,อนุสาวรีย์ชัยสมรภูมิ,13.765648,100.537951,0.30259123034562263
86_1_8,86,8,1,อนุสาวรีย์ชัยสมรภูมิ,13.765648,100.537951,87_1_8,87,ลือชา,13.767801,100.539739,0.3075763395299874
87_1_8,87,8,1,ลือชา,13.767801,100.539739,88_1_8,88,"ททบ.5,โรงพยาบาลพญาไท 2",13.770291,100.541113,0.31413366331101855
